MG-silicon, at plant | Scenario: 2025, pessimistic, BAU
electricity, at solar tower, DNI2000, hybrid, with storage, 15MW | Scenario: Today
electricity, at solar tower, DNI2000, with storage, 15MW | Scenario: Today
electricity, at solar trough, DNI2000, hybrid, with storage, 46MW | Scenario: Today
electricity, at steam turbine (poplar), emiss. ctrl., South EU, alloc. exergy | Scenario: Today
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, 440ppm
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, BAU
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, realistic-optimistic, 440ppm
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, 440ppm
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, Renew
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, pessimistic, 440ppm
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, pessimistic, BAU
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, very optimistic, 440ppm
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, very optimistic, Renew
electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: Today
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, 440ppm
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, BAU
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, realistic-optimistic, 440ppm
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, 440ppm
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, Renew
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, pessimistic, 440ppm
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, pessimistic, BAU
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, realistic-optimistic, 440ppm
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, very optimistic, 440ppm
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, very optimistic, Renew
electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: Today
electricity, from wave energy, 7MW | Scenario: 2025, pessimistic, 440ppm
electricity, from wave energy, 7MW | Scenario: 2025, pessimistic, BAU
electricity, from wave energy, 7MW | Scenario: 2025, realistic-optimistic, 440ppm
electricity, from wave energy, 7MW | Scenario: 2025, very optimistic, 440ppm
electricity, from wave energy, 7MW | Scenario: 2025, very optimistic, Renew
electricity, from wave energy, 7MW | Scenario: 2050, pessimistic, 440ppm
electricity, from wave energy, 7MW | Scenario: 2050, pessimistic, BAU
electricity, from wave energy, 7MW | Scenario: 2050, realistic-optimistic, 440ppm
electricity, from wave energy, 7MW | Scenario: 2050, very optimistic, 440ppm
