Process Name,Product Flow,Unit,Carbon Footprint (kg CO2 eq),Status
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: 2050, very optimistic, Renew","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,0.8853120353582259,Success
"electricity, at proton exchange membrane fuel cell CHP 2kW | Scenario: Today","electricity, at proton exchange membrane fuel cell CHP 2kW",kWh,1.2559909108759948,Success
"electricity, at solar tower, DNI2000, hybrid, with storage, 15MW | Scenario: Today","electricity, at solar tower, DNI2000, hybrid, with storage, 15MW",kWh,0.037738332742856574,Success
"electricity, at solar tower, DNI2000, with storage, 15MW | Scenario: Today","electricity, at solar tower, DNI2000, with storage, 15MW",kWh,0.022026647450121787,Success
"electricity, at solar trough, DNI2000, hybrid, with storage, 46MW | Scenario: Today","electricity, at solar trough, DNI2000, hybrid, with storage, 46MW",kWh,0.04833571539019996,Success
"electricity, at steam turbine (poplar), emiss. ctrl., South EU, alloc. exergy | Scenario: Today","electricity, at steam turbine (poplar), emiss. ctrl., South EU, alloc. exergy",kWh,0.0726876986202299,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, 440ppm","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.06381335285802339,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, BAU","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.06419200371017102,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.06356838382013869,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, 440ppm","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.050999695468536735,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, Renew","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.05094450413204145,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, pessimistic, 440ppm","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.06332771319922716,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, pessimistic, BAU","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.06416069974892315,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, realistic-optimistic, 440ppm","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.05052574815630093,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, very optimistic, 440ppm","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.049812634746964256,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2050, very optimistic, Renew","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.04988673668961742,Success
"electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy | Scenario: Today","electricity, at steam turbine (poplar), emission ctrl., Centr. EU, alloc. exergy",kWh,0.06494782031077209,Success
"electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, 440ppm","electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy",kWh,0.04035918766506299,Success
"electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, pessimistic, BAU","electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy",kWh,0.040511701238028885,Success
"electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, realistic-optimistic, 440ppm","electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy",kWh,0.04023084131967736,Success
"electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, 440ppm","electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy",kWh,0.03206717870522219,Success
"electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy | Scenario: 2025, very optimistic, Renew","electricity, at steam turbine (straw), emission ctrl., Centr. EU, alloc. exergy",kWh,0.032046476887895185,Success
